Date,Player,Player_Type,Market_Player_Norm,Market_Fetched_At_UTC,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Provider,Market_H,Synthetic_Market_H,Market_H_books,Market_H_over_price,Market_H_under_price,Market_H_line_std,Market_Provider_H,Market_RBI,Synthetic_Market_RBI,Market_RBI_books,Market_RBI_over_price,Market_RBI_under_price,Market_RBI_line_std,Market_Provider_RBI,Market_HR,Synthetic_Market_HR,Market_HR_books,Market_HR_over_price,Market_HR_under_price,Market_HR_line_std,Market_Provider_HR,Market_K,Synthetic_Market_K,Market_K_books,Market_K_over_price,Market_K_under_price,Market_K_line_std,Market_Provider_K,Market_ER,Synthetic_Market_ER,Market_ER_books,Market_ER_over_price,Market_ER_under_price,Market_ER_line_std,Market_Provider_ER
2026-04-09,Aaron Judge,hitter,Aaron_Judge,2026-04-10T01:12:42Z,367971,,,,covers,,,,,,,,0.5,0.5,2.0,112.0,,0.0,covers,0.5,0.5,2.0,225.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Adley Rutschman,hitter,Adley_Rutschman,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-219.0,160.0,0.0,covers,0.5,0.5,1.0,179.0,,0.0,covers,0.5,0.5,1.0,630.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Alec Burleson,hitter,Alec_Burleson,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-211.0,161.0,0.0,covers,0.5,0.5,1.0,211.0,,0.0,covers,0.5,0.5,1.0,630.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Alex Freeland,hitter,Alex_Freeland,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-138.5,104.0,0.0,covers,0.5,0.5,2.0,214.0,,0.0,covers,0.5,0.5,2.0,588.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Amed Rosario,hitter,Amed_Rosario,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,1.0,-224.0,166.0,0.0,covers,0.5,0.5,1.0,187.0,,0.0,covers,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Andy Pages,hitter,Andy_Pages,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-200.5,150.0,0.0,covers,0.5,0.5,2.0,168.5,,0.0,covers,0.5,0.5,2.0,445.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Austin Riley,hitter,Austin_Riley,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-237.5,160.0,0.0,covers,0.5,0.5,2.0,150.5,,0.0,covers,0.5,0.5,2.0,394.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Austin Wells,hitter,Austin_Wells,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-138.5,101.0,0.0,covers,0.5,0.5,2.0,237.0,,0.0,covers,0.5,0.5,2.0,885.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Ben Rice,hitter,Ben_Rice,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,1.0,-210.0,,0.0,covers,0.5,0.5,1.0,135.0,,0.0,covers,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Ben Williamson,hitter,Ben_Williamson,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,1.0,-165.0,,0.0,covers,0.5,0.5,1.0,260.0,,0.0,covers,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Bo Naylor,hitter,Bo_Naylor,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-162.5,117.0,0.0,covers,0.5,0.5,2.0,205.5,,0.0,covers,0.5,0.5,2.0,501.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Brandon Nimmo,hitter,Brandon_Nimmo,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-201.5,144.0,0.0,covers,0.5,0.5,2.0,220.0,,0.0,covers,0.5,0.5,2.0,482.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Brayan Rocchio,hitter,Brayan_Rocchio,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-151.0,111.0,0.0,covers,0.5,0.5,2.0,251.0,,0.0,covers,0.5,0.5,2.0,910.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Brenton Doyle,hitter,Brenton_Doyle,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-128.75,-105.33333333333333,0.0,covers,0.5,0.5,4.0,230.25,-373.3333333333333,0.0,covers,0.5,0.5,4.0,807.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,CJ Kayfus,hitter,CJ_Kayfus,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-159.0,-103.0,0.0,covers,0.5,0.5,2.0,228.0,,0.0,covers,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Caleb Durbin,hitter,Caleb_Durbin,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-209.0,158.0,0.0,covers,0.5,0.5,1.0,210.0,,0.0,covers,0.5,0.5,1.0,1140.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Carlos Narvaez,hitter,Carlos_Narvaez,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-166.0,125.0,0.0,covers,0.5,0.5,1.0,224.0,,0.0,covers,0.5,0.5,1.0,850.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Ceddanne Rafaela,hitter,Ceddanne_Rafaela,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-194.0,145.0,0.0,covers,0.5,0.5,1.0,221.0,,0.0,covers,0.5,0.5,1.0,1080.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Cedric Mullins,hitter,Cedric_Mullins,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-122.5,-110.0,0.0,covers,0.5,0.5,2.0,235.5,,0.0,covers,0.5,0.5,2.0,730.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Chandler Simpson,hitter,Chandler_Simpson,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-244.5,177.0,0.0,covers,0.5,0.5,2.0,230.5,,0.0,covers,0.5,0.5,2.0,1670.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Chase DeLauter,hitter,Chase_DeLauter,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-217.5,160.0,0.0,covers,0.5,0.5,2.0,184.5,,0.0,covers,0.5,0.5,2.0,546.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Coby Mayo,hitter,Coby_Mayo,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-153.0,116.0,0.0,covers,0.5,0.5,1.0,237.0,,0.0,covers,0.5,0.5,1.0,780.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Cody Bellinger,hitter,Cody_Bellinger,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-226.0,179.0,0.0,covers,0.5,0.5,2.0,195.5,,0.0,covers,0.5,0.5,2.0,955.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Colton Cowser,hitter,Colton_Cowser,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-153.0,115.0,0.0,covers,0.5,0.5,1.0,224.0,,0.0,covers,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Corey Seager,hitter,Corey_Seager,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-218.0,147.0,0.0,covers,0.5,0.5,2.0,162.5,,0.0,covers,0.5,0.5,2.0,360.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Daniel Schneemann,hitter,Daniel_Schneemann,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,1.0,-126.0,-104.0,0.0,covers,0.5,0.5,1.0,247.0,,0.0,covers,0.5,0.5,1.0,610.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Danny Jansen,hitter,Danny_Jansen,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-133.0,-101.0,0.0,covers,0.5,0.5,2.0,218.5,,0.0,covers,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Dominic Smith,hitter,Dominic_Smith,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-173.0,128.0,0.0,covers,0.5,0.5,2.0,213.5,,0.0,covers,0.5,0.5,2.0,639.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Drake Baldwin,hitter,Drake_Baldwin,2026-04-10T01:12:42Z,369780,,,,covers,,,,,,,,0.5,0.5,2.0,169.0,,0.0,covers,0.5,0.5,2.0,455.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Dylan Beavers,hitter,Dylan_Beavers,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-163.0,123.0,0.0,covers,0.5,0.5,1.0,228.0,,0.0,covers,0.5,0.5,1.0,700.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Edouard Julien,hitter,Edouard_Julien,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-178.25,122.0,0.0,covers,0.5,0.5,4.0,225.25,-376.6666666666667,0.0,covers,0.5,0.5,4.0,671.25,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Evan Carter,hitter,Evan_Carter,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-132.5,-102.0,0.0,covers,0.5,0.5,2.0,279.0,,0.0,covers,0.5,0.5,2.0,730.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Ezequiel Tovar,hitter,Ezequiel_Tovar,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-192.5,138.33333333333334,0.0,covers,0.5,0.5,4.0,209.0,-332.3333333333333,0.0,covers,0.5,0.5,4.0,618.75,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Fernando Tatis Jr.,hitter,Fernando_Tatis_Jr,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-254.5,172.5,0.0,covers,0.5,0.5,4.0,148.0,-216.66666666666666,0.0,covers,0.5,0.5,4.0,385.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Freddie Freeman,hitter,Freddie_Freeman,2026-04-10T01:12:42Z,368938,,,,covers,,,,,,,,0.5,0.5,2.0,124.5,,0.0,covers,0.5,0.5,2.0,380.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Freddy Fermin,hitter,Freddy_Fermin,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-153.5,115.33333333333333,0.0,covers,0.5,0.5,4.0,232.75,-390.6666666666667,0.0,covers,0.5,0.5,4.0,1007.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Gavin Sheets,hitter,Gavin_Sheets,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-178.0,128.0,0.0,covers,0.5,0.5,4.0,170.25,-260.0,0.0,covers,0.5,0.5,4.0,525.75,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Giancarlo Stanton,hitter,Giancarlo_Stanton,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-211.0,153.0,0.0,covers,0.5,0.5,2.0,133.5,,0.0,covers,0.5,0.5,2.0,338.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Gunnar Henderson,hitter,Gunnar_Henderson,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-242.0,178.0,0.0,covers,0.5,0.5,1.0,187.0,,0.0,covers,0.5,0.5,1.0,476.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Harrison Bader,hitter,Harrison_Bader,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-166.0,124.0,0.0,covers,0.5,0.5,1.0,216.0,,0.0,covers,0.5,0.5,1.0,660.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Heliot Ramos,hitter,Heliot_Ramos,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-207.0,154.0,0.0,covers,0.5,0.5,1.0,190.0,,0.0,covers,0.5,0.5,1.0,540.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Hunter Goodman,hitter,Hunter_Goodman,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-175.5,130.66666666666666,0.0,covers,0.5,0.5,4.0,172.5,-269.6666666666667,0.0,covers,0.5,0.5,4.0,438.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Hyeseong Kim,hitter,Hyeseong_Kim,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-158.0,114.0,0.0,covers,0.5,0.5,2.0,237.0,,0.0,covers,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Ivan Herrera,hitter,Ivan_Herrera,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-209.0,155.0,0.0,covers,0.5,0.5,1.0,208.0,,0.0,covers,0.5,0.5,1.0,544.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,JJ Bleday,hitter,JJ_Bleday,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-212.0,161.0,0.0,covers,0.5,0.5,1.0,260.0,,0.0,covers,0.5,0.5,1.0,820.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jackson Merrill,hitter,Jackson_Merrill,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-269.25,-51.0,0.4330127018922193,covers,0.5,0.5,4.0,128.25,-187.0,0.0,covers,0.5,0.5,4.0,409.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jake Burger,hitter,Jake_Burger,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-165.0,124.0,0.0,covers,0.5,0.5,2.0,176.5,,0.0,covers,0.5,0.5,2.0,402.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jake Cronenworth,hitter,Jake_Cronenworth,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-195.25,135.0,0.0,covers,0.5,0.5,4.0,191.75,-301.6666666666667,0.0,covers,0.5,0.5,4.0,607.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jake Fraley,hitter,Jake_Fraley,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-142.0,109.0,0.0,covers,0.5,0.5,2.0,235.0,,0.0,covers,0.5,0.5,2.0,775.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jake McCarthy,hitter,Jake_McCarthy,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,3.0,-163.33333333333334,118.0,0.0,covers,0.5,0.5,3.0,226.66666666666666,-401.5,0.0,covers,0.5,0.5,4.0,1087.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jarren Duran,hitter,Jarren_Duran,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-213.0,160.0,0.0,covers,0.5,0.5,1.0,212.0,,0.0,covers,0.5,0.5,1.0,690.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jazz Chisholm Jr.,hitter,Jazz_Chisholm_Jr,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-186.5,144.0,0.0,covers,0.5,0.5,2.0,216.5,,0.0,covers,0.5,0.5,2.0,850.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jerar Encarnacion,hitter,Jerar_Encarnacion,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-177.0,132.0,0.0,covers,0.5,0.5,1.0,193.0,,0.0,covers,0.5,0.5,1.0,485.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jeremiah Jackson,hitter,Jeremiah_Jackson,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-185.0,138.0,0.0,covers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-09,Joc Pederson,hitter,Joc_Pederson,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-126.0,-119.0,0.0,covers,0.5,0.5,2.0,213.5,,0.0,covers,0.5,0.5,2.0,423.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jonathan Aranda,hitter,Jonathan_Aranda,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-201.0,143.0,0.0,covers,0.5,0.5,2.0,192.5,,0.0,covers,0.5,0.5,2.0,478.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jordan Walker,hitter,Jordan_Walker,2026-04-10T01:12:42Z,369801,,,,covers,0.5,0.5,1.0,-167.0,125.0,0.0,covers,0.5,0.5,1.0,219.0,,0.0,covers,0.5,0.5,1.0,680.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jose Caballero,hitter,Jose_Caballero,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-150.5,-105.0,0.0,covers,0.5,0.5,2.0,241.5,,0.0,covers,0.5,0.5,2.0,1080.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Jose Ramirez,hitter,Jose_Ramirez,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-272.0,182.0,0.0,covers,0.5,0.5,2.0,147.5,,0.0,covers,0.5,0.5,2.0,460.0,,0.0,covers,,,,,,,,,,,,,,
